instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,hr_sin,hr_cos,mnth_sin,mnth_cos,weekday_sin,weekday_cos,is_weekend,temp_bucket,cnt_lag1,cnt_roll_6h
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,16,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,,
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,40,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,16.0,
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,32,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,40.0,
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,13,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,32.0,
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,1,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,13.0,
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,1.0,
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,1.0,17.166666666666668
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,3,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,2.0,14.833333333333334
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,8,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,3.0,8.666666666666666
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,14,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,8.0,4.666666666666667
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,36,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,1,14.0,4.833333333333333
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,56,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,1,36.0,10.666666666666666
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,84,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,1,56.0,19.833333333333332
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,94,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,1,84.0,33.5
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,106,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,1,94.0,48.666666666666664
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,110,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,1,106.0,65.0
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,93,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,1,110.0,81.0
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,67,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,1,93.0,90.5
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,35,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,1,67.0,92.33333333333333
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,37,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,1,35.0,84.16666666666667
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,36,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,1,37.0,74.66666666666667
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,34,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,1,36.0,63.0
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,28,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,1,34.0,50.333333333333336
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,39,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,1,28.0,39.5
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,17,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1,1,39.0,34.833333333333336
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,17,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0.0,1.0,1,1,17.0,31.833333333333332
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,9,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0.0,1.0,1,1,17.0,28.5
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,6,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.0,1.0,1,1,9.0,24.0
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,3,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,1.0,1,1,6.0,19.333333333333332
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.0,1.0,1,1,3.0,15.166666666666666
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,1,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.0,1.0,1,1,2.0,9.0
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,8,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0.0,1.0,1,1,1.0,6.333333333333333
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,20,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0.0,1.0,1,1,8.0,4.833333333333333
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,53,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,0.0,1.0,1,1,20.0,6.666666666666667
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,70,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,0.0,1.0,1,1,53.0,14.5
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,93,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1,1,70.0,25.666666666666668
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,75,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,0.0,1.0,1,1,93.0,40.833333333333336
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,59,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,0.0,1.0,1,1,75.0,53.166666666666664
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,0.0,1.0,1,0,59.0,61.666666666666664
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0.0,1.0,1,0,74.0,70.66666666666667
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,65,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.0,1.0,1,0,76.0,74.5
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0.0,1.0,1,1,65.0,73.66666666666667
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,30,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,0.0,1.0,1,0,53.0,67.0
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,22,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,1.0,1,0,30.0,59.5
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,31,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,0.0,1.0,1,0,22.0,53.333333333333336
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,0.0,1.0,1,0,31.0,46.166666666666664
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,0.0,1.0,1,0,9.0,35.0
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,5,0.0,1.0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,8.0,25.5
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,5.0,17.5
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,2.0,12.833333333333334
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,1.0,9.333333333333334
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,3.0,4.666666666666667
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,64,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,30.0,8.166666666666666
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,154,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,64.0,17.5
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,88,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,154.0,42.333333333333336
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,44,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,88.0,56.666666666666664
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,51,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,44.0,63.833333333333336
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,61,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,51.0,71.83333333333333
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,61,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,61.0,77.0
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,77,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,61.0,76.5
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,72,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,77.0,63.666666666666664
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,76,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,72.0,61.0
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,157,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,76.0,66.33333333333333
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,157,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,157.0,84.0
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,110,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,157.0,100.0
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,52,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,110.0,108.16666666666667
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,52,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,52.0,104.0
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,52.0,100.66666666666667
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,12,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,20.0,91.33333333333333
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5,0.0,1.0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,12.0,67.16666666666667
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,5.0,41.833333333333336
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,2.0,23.833333333333332
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,1.0,15.333333333333334
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,2.0,7.0
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,4.0,4.333333333333333
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,94,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,36.0,8.333333333333334
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,179,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,94.0,23.166666666666668
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,100,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,179.0,52.666666666666664
