date_hr,residual,season,weathersit_grouped,hr,weekday,temp_bin,hum_bin
2011-05-05_17,12.97998046875,2,1,17,4,1,0.0
2011-05-05_18,-8.35479736328125,2,1,18,4,1,0.0
2011-05-05_19,-6.378143310546875,2,1,19,4,1,0.0
2011-05-05_20,2.40301513671875,2,1,20,4,1,0.0
2011-05-05_21,0.1860809326171875,2,1,21,4,1,0.0
2011-05-05_22,3.8830718994140625,2,1,22,4,1,0.0
2011-05-05_23,-0.7439651489257812,2,1,23,4,1,0.0
2011-05-06_0,-0.128631591796875,2,1,0,5,1,0.0
2011-05-06_1,-2.543628692626953,2,1,1,5,1,0.0
2011-05-06_2,-0.1291332244873047,2,1,2,5,1,0.0
2011-05-06_3,-0.2962150573730469,2,1,3,5,1,0.0
2011-05-06_4,-0.24241340160369873,2,1,4,5,1,0.0
2011-05-06_5,0.20174598693847656,2,1,5,5,1,0.0
2011-05-06_6,1.2422256469726562,2,1,6,5,1,0.0
2011-05-06_7,0.0362548828125,2,1,7,5,1,0.0
2011-05-06_8,27.029266357421875,2,1,8,5,1,0.0
2011-05-06_9,-1.942138671875,2,1,9,5,1,0.0
2011-05-06_10,-1.9417572021484375,2,2,10,5,1,0.0
2011-05-06_11,-2.85552978515625,2,2,11,5,1,0.0
2011-05-06_12,1.7705841064453125,2,1,12,5,1,0.0
2011-05-06_13,11.479248046875,2,1,13,5,1,0.0
2011-05-06_14,-1.5165557861328125,2,1,14,5,1,0.0
2011-05-06_15,-1.434539794921875,2,1,15,5,1,0.0
2011-05-06_16,-2.12896728515625,2,1,16,5,1,0.0
2011-05-06_17,39.5035400390625,2,1,17,5,1,0.0
2011-05-06_18,7.03460693359375,2,3,18,5,1,0.0
2011-05-06_19,5.802520751953125,2,3,19,5,1,0.0
2011-05-06_20,-4.6028289794921875,2,1,20,5,1,0.0
2011-05-06_21,-1.238372802734375,2,1,21,5,1,0.0
2011-05-06_22,2.3796844482421875,2,1,22,5,1,0.0
2011-05-06_23,0.38396453857421875,2,1,23,5,1,0.0
2011-05-07_0,1.103302001953125,2,1,0,6,1,0.0
2011-05-07_1,-1.2067794799804688,2,1,1,6,1,0.0
2011-05-07_2,-0.09833145141601562,2,1,2,6,1,0.0
2011-05-07_3,-2.242349624633789,2,1,3,6,1,0.0
